customer_id,hist_avg_spend,hist_median_spend,hist_tx_count
2,60.09,60.09,1
8,65.25,65.25,1
9,65.63,65.63,1
13,71.9,71.9,1
14,76.14,76.14,1
17,97.28,97.28,1
19,122.93,122.93,1
20,31.1175,28.4,4
21,171.32,171.32,1
22,119.33,123.795,4
23,73.88,73.88,1
25,182.93,182.93,2
26,54.35,54.35,1
28,88.895,88.895,2
29,595.26,595.26,1
32,100.17,100.17,1
33,8.1,8.1,1
37,29.765,29.765,2
41,206.6833333333333,108.53,3
44,103.79,103.79,1
46,187.33666666666667,241.18,3
47,29.91,29.91,1
48,171.12,171.12,1
49,39.19,39.19,1
50,100.59666666666665,97.21,3
51,42.15,42.15,1
52,138.3,138.3,1
53,15.95,15.95,1
55,100.74,100.74,1
56,55.22,55.22,1
57,17.78,17.78,1
62,32.63,32.63,1
63,148.97,148.97,2
64,111.58,111.58,1
66,53.58,53.58,1
67,168.03,168.03,2
68,64.83,64.83,1
69,52.98,52.98,1
71,49.879999999999995,49.879999999999995,2
72,80.63499999999999,80.63499999999999,2
73,319.61,319.61,1
74,72.39666666666666,68.14,3
75,34.2,34.2,2
77,41.65,41.65,1
79,58.27333333333333,29.8,3
81,76.56,76.56,1
82,24.08,24.08,2
84,216.19,216.19,1
86,208.09,163.21,3
87,68.17,68.17,1
88,52.69,52.69,1
93,15.43,15.43,1
95,122.67750000000001,88.445,4
99,97.25,97.25,2
100,124.78,124.78,2
101,156.155,156.155,2
102,34.085,34.085,2
104,116.03000000000002,72.39,3
106,118.25,118.25,2
108,19.79,19.79,1
110,287.09,287.09,1
111,47.660000000000004,47.660000000000004,2
112,26.64,26.64,1
113,77.29,77.29,1
115,151.56,151.56,1
118,44.1,44.1,1
119,104.12,104.12,1
120,19.46,19.46,1
121,33.92,33.92,1
122,37.34,37.34,1
123,11.445,11.445,2
124,88.31333333333333,80.73,3
125,87.22999999999999,87.22999999999999,2
126,40.18,40.18,1
127,75.08,75.08,1
128,98.66,98.66,2
129,27.04,27.04,1
132,83.65,83.65,1
133,42.58,42.58,1
134,75.76,75.76,1
135,187.10000000000002,171.48,3
136,195.18,195.18,1
138,57.72,57.72,1
139,54.50666666666666,46.73,3
141,95.23,95.23,1
142,30.39,30.39,2
144,39.2,39.2,1
145,120.18,120.18,1
146,73.01,73.01,1
149,70.27,70.27,1
152,100.06,100.06,1
153,42.41,42.41,1
154,267.66,267.66,1
159,48.76,48.76,1
160,33.76,33.76,2
161,230.76,230.76,1
162,205.06,205.06,2
164,79.31,79.31,1
165,161.9,161.9,1
166,42.42,42.42,1
167,89.57,89.57,2
168,82.85,82.85,1
169,29.13,29.13,1
173,14.16,14.16,1
175,85.89,85.89,1
